Id,Url,Title,Artist,Mood,Rate
2030307,http://e-cdn-preview-e.deezer.com/stream/e7638344ec600bd982de68b6fa423368-4.mp3,A Week in a Country Jail (In the Style of Tom T Hall) [Karaoke Version],The Karaoke Channel,공포,3.07
2057449,http://e-cdn-preview-9.deezer.com/stream/99301798ff2b1431b1500d94ee6ed609-3.mp3,Desde el alma,Andrea Tenuta & Alberto Favero,놀라움,4.30
2159153,http://e-cdn-preview-3.deezer.com/stream/35d6db0dde8c0e1c27f902ce3e318ea5-4.mp3,All These Things That I've Done (Edit),The Killers,슬픔,4.94
2247288,http://e-cdn-preview-9.deezer.com/stream/9efe2a5af65d33091a2aec8f98b1e531-3.mp3,Doin' It,LL Cool J,공포,4.38
2261410,http://e-cdn-preview-7.deezer.com/stream/78167dd0fb9b5710811e3567f87930a9-3.mp3,Psycho Madness,Rantan,신뢰,2.35
2287585,http://e-cdn-preview-3.deezer.com/stream/303e7bdefea54d996bb805992f761b29-7.mp3,Stop Breaking My Heart,Tom Jones,기대,3.41
2323940,http://e-cdn-preview-b.deezer.com/stream/b2f9d5e261304c17d6b9be34d33608a0-3.mp3,Carrousel,Rondò Veneziano,기쁨,4.81
2405183,http://e-cdn-preview-7.deezer.com/stream/7efc08113416b56f9940b91550205334-3.mp3,Another Day In Paradise (In The Style Of Phil Collins) [Karaoke Version],AVID Karaoke,기대,3.20
2410091,http://e-cdn-preview-c.deezer.com/stream/c3d189d8ff94759aa72c8f91f5dc3888-4.mp3,From East To West,Voyage,기대,3.17
2481288,http://ir.ii.uam.es/~ir/music/69fcccdc5b2bd52852318a4856bee176-2.mp3,Might Have Given Too Much Away,Pink Turns Blue,혐오,3.54
2484112,http://e-cdn-preview-3.deezer.com/stream/370fc7e535a78bd53a161b38a08942fb-4.mp3,Des proses et des leurres,Piège à rêves,혐오,2.13
2555176,http://e-cdn-preview-0.deezer.com/stream/065ff5e37960f9a75e9217cef10889a3-5.mp3,Dagh Oudouniya Zagzan Bass Tchila,Abdallah Oumbadougou,놀라움,2.70
2557026,http://e-cdn-preview-f.deezer.com/stream/fca2892ff98edbb0d2fea6b332665f57-5.mp3,Great DJ,The Ting Tings,놀라움,3.27
2560749,http://e-cdn-preview-0.deezer.com/stream/0fd0dc844b3765b1759fd743d7135fdc-3.mp3,Sonata, B-Dur: III. Adagio In His 4th Organ,Il vero modo,기대,3.57
2586286,http://e-cdn-preview-e.deezer.com/stream/ea0801f65340504c1dfafb4866207515-4.mp3,Sunshine Cake (Digitally Remastered),Frank Sinatra,놀라움,3.50
2609199,http://ir.ii.uam.es/~ir/music/67fe7b41fa8282916073d0a875aaa1b6-2.mp3,Undum Deum,Samuel Zyman,공포,4.20
2693105,http://e-cdn-preview-8.deezer.com/stream/8358863d02f162ed4eee7b5326ae6f88-4.mp3,Womb To Tomb (Live),Pete Philly & Perquisite,혐오,2.02
2704335,http://e-cdn-preview-2.deezer.com/stream/2e8d40981e09872d9ea80507751bbace-1.mp3,Altolà,Luca Canali,분노,2.52
2840362,http://e-cdn-preview-8.deezer.com/stream/82796c1414e9f385ecf0b720abe78a50-3.mp3,Poison Ivy,The Coasters,분노,4.61
2926402,http://e-cdn-preview-d.deezer.com/stream/dc6117c9ac3e194bb081e995bf18a52b-3.mp3,Good Morning Moon,Turboweekend,기대,3.21
2957577,http://e-cdn-preview-b.deezer.com/stream/bef18d13fa37fdd93e84d3ab04d334d6-4.mp3,Fable,Detritus,신뢰,4.80
2970306,http://e-cdn-preview-e.deezer.com/stream/ee3f1a8ed9af8665c66d9331a14bd4b4-3.mp3,Mood (Mauro Venice Remix),Deep Grounder,기대,2.64
2995148,http://e-cdn-preview-c.deezer.com/stream/c269042daf42f710045b0e26baa1f945-1.mp3,Ro Ro Rosey,Van Morrison,기쁨,3.15
3001334,http://e-cdn-preview-8.deezer.com/stream/81c0f33ba307e755fba21591ac35a709-1.mp3,We'll Smile Again,Flanagan & Allen,슬픔,3.50
3151015,http://e-cdn-preview-4.deezer.com/stream/4e86518858ec60e56c1395dc785da6e5-2.mp3,Alcina HWV34, ACT 2: Ombre pallide,Arleen Augér/City of London Baroque Sinfonia/Richard Hickox,분노,4.05
3164755,http://e-cdn-preview-2.deezer.com/stream/2ba263abd343535d9c3e7a838e501ec8-7.mp3,I'm The One,Gerry & The Pacemakers,슬픔,4.55
3275927,http://e-cdn-preview-d.deezer.com/stream/dc2915c2bcab0b4ce75b0de547afbf51-2.mp3,Me Deixe Mudo,Silvia Machete,놀라움,4.04
3302777,http://e-cdn-preview-e.deezer.com/stream/e3f1f6f17cdff6862c76ab6d211b9fff-3.mp3,Alive,Pryslezz,놀라움,3.10
3338125,http://ir.ii.uam.es/~ir/music/eb8509a14b56422e123e9a076ba6d10b-1.mp3,25 Minutes,Michael Learns to Rock,신뢰,2.46
3369711,http://e-cdn-preview-e.deezer.com/stream/eb6e60becdc4c2857f4c5ed71997b456-3.mp3,Never Even Told Me Her Name,Air Traffic,놀라움,3.74
3407958,http://e-cdn-preview-c.deezer.com/stream/c39b81a73e0169999ad05d81547ede6e-2.mp3,Ihmisen Ikävä Toisen Luo,Canto Finlandia,분노,4.67
3411439,http://e-cdn-preview-6.deezer.com/stream/61ec65a570f28b2631929866da7198be-3.mp3,Helt OK,CC Cowboys,분노,4.78
3464299,http://e-cdn-preview-b.deezer.com/stream/bc38ffa151b37f6961d2ddb96a672248-3.mp3,I'll Be Seeing You,Françoise Hardy - Iggy Pop,슬픔,2.15
3473230,http://e-cdn-preview-8.deezer.com/stream/8ea5576cf35c7a71185254ff01f9a934-4.mp3,Ithele Lei,Giannis Ploutarhos,놀라움,4.45
3513394,http://e-cdn-preview-f.deezer.com/stream/f00fc4c6cd31219c086eb720ae587a1f-4.mp3,Too Late, Too Soon (Crossover Edit),Jon Secada,혐오,4.39
3648429,http://e-cdn-preview-8.deezer.com/stream/86a9d64b188694eef95c4015be9e9f3b-4.mp3,Compañera No Regañes,La Niña de los Peines,신뢰,3.81
3666919,http://e-cdn-preview-2.deezer.com/stream/2b59cc5bad534e2bf4ef94ddc3e598c8-4.mp3,Winter Wonderland,Arthur Lyman,슬픔,4.95
3850238,http://e-cdn-preview-0.deezer.com/stream/0e2f20d2cff1ea98a987e7e4d522ba83-4.mp3,Daydream (Original Version),The Moody Boyz,기대,2.67
3921282,http://e-cdn-preview-3.deezer.com/stream/3ff45d3a7db63ec979b342a0baf3e61a-4.mp3,Over It (Funky Junction & House Of Lovers Edit),Tiffany Affair,혐오,3.66
4096104,http://e-cdn-preview-b.deezer.com/stream/b3be8418a8e161cfed750543fb2b2917-18.mp3,I Am Your Man,Bobby Taylor,신뢰,2.98
4119245,http://e-cdn-preview-9.deezer.com/stream/9bccfb0c2a8893b6fd2190fe8f720c88-5.mp3,Back And Forth (Original Mix),LaSeo,혐오,3.94
4156841,http://e-cdn-preview-8.deezer.com/stream/8d5276ef3e64792000c748c0ea2a6709-4.mp3,Die Fledermaus / Act 1 : "Nein, nein, ich zweifle gar nicht mehr",Hilde Gueden,기쁨,4.81
4157260,http://e-cdn-preview-4.deezer.com/stream/431ad842ee61f0a0a90be55f00ad9f5a-3.mp3,Three Dances : Anastasia's Two-step,Piano Circus,혐오,3.48
4189327,http://e-cdn-preview-6.deezer.com/stream/62347a09932e4eab96af3b9763a7aa0c-7.mp3,Upside Down,Diana Ross,기쁨,3.43
4250024,http://e-cdn-preview-f.deezer.com/stream/f58c6e33b67ea5fd91ee21f0325bb2d3-3.mp3,A New Side,Paolo Gatti,기쁨,3.22
4257083,http://ir.ii.uam.es/~ir/music/38aa8ec006a10df9c2c1e5fe8dfa537c-3.mp3,I Ain't The One,Lynyrd Skynyrd,기쁨,3.20
4297595,http://e-cdn-preview-b.deezer.com/stream/b7e0e5a7f1a34661d290fc9ce8175b27-3.mp3,Ojos de Perro Azul,Marco Strano,기대,4.14
4313595,http://e-cdn-preview-3.deezer.com/stream/339f32f47d4f7715fc6a253083d8331c-2.mp3,The Big Show – Big,Studio Group,슬픔,4.52
4343780,http://ir.ii.uam.es/~ir/music/97e58eaef7476ae0dcc48466c3b61f04-2.mp3,Daylight Single Version,Maximilian Hecker,공포,4.80
4403979,http://e-cdn-preview-7.deezer.com/stream/7ef0f10e68a3aec455fbcaa93f07e2a5-2.mp3,Wafa Ka Naam ( Heer ),Runa Laila,신뢰,4.88
4405502,http://e-cdn-preview-7.deezer.com/stream/76d517446a66699021b1357bce78fa91-5.mp3,B-Yot (04-06-49),Illinois Jacquet,혐오,4.32
4432859,http://e-cdn-preview-f.deezer.com/stream/fc3818ccdbf80b462dfcdc104e3a2300-2.mp3,Tapestry (as made famous by Carole King),Hitmakers Ltd.,신뢰,4.32
4517211,http://e-cdn-preview-b.deezer.com/stream/b5bc1bb356767b39f30a91e0b3d897bc-7.mp3,Vicki,The Statlers,기쁨,2.99
4524232,http://e-cdn-preview-e.deezer.com/stream/e986359fd44c680afe350eeddc71c28d-4.mp3,I Want a Little Girl,Sonny Parker,기대,4.27
4556695,http://e-cdn-preview-8.deezer.com/stream/8639a80da747f06427da360759f3ce78-3.mp3,The Wild Rover,The Green Bards,신뢰,2.45
4566336,http://e-cdn-preview-f.deezer.com/stream/ffa03724a5307e5b73912bd3a0c1509d-7.mp3,Sweetie Pie,Morrissey,분노,3.60
4630502,http://e-cdn-preview-0.deezer.com/stream/08cecb56e742ce960d025cdb0d34d71e-2.mp3,Moanin',Massimo Faraò,공포,2.85
4675615,http://e-cdn-preview-6.deezer.com/stream/6da2cd114a8245f650a54e68a3685f50-3.mp3,Ela Disse-Me Assim (Vá Embora),Maria Bethânia,혐오,3.39
4678105,http://e-cdn-preview-2.deezer.com/stream/2e28ecfa361596196b4aa9890944826c-4.mp3,Island Girl,Don Johnson Big Band,신뢰,2.34
4701067,http://e-cdn-preview-c.deezer.com/stream/cd3b81feb17a2fed771aa666cd728d42-1.mp3,Open-JOT,jot-electro,기쁨,3.66
4729155,http://e-cdn-preview-1.deezer.com/stream/11e212e4340e82845ca851f95da3385c-5.mp3,Cry Me a River,Julie London,혐오,2.60
4819939,http://e-cdn-preview-3.deezer.com/stream/32dfd5edae1f12a146b088b6e5e632c4-1.mp3,Do Nothing Until Your Hear From Me,BBC Concert Orchestra,슬픔,3.67
4841406,http://e-cdn-preview-8.deezer.com/stream/822dbfa1aad2d4f7c4ffe69d340ab8e4-0.mp3,I Think We’re Alone Now (As Made Famous by Tiffany) (Workout Remix + 145 BPM),The Workout Heroes,기쁨,3.61
4927984,http://e-cdn-preview-1.deezer.com/stream/1bab9f05e299d781148c53bc2eeb90d2-2.mp3,Analyse,Alexander Sandy Wolfrum,신뢰,4.21
4940699,http://e-cdn-preview-7.deezer.com/stream/7dae1612d3844171eeb84f923a7cbdca-2.mp3,Endstadt,Am Tag Unter Null,공포,4.41
4954825,http://e-cdn-preview-c.deezer.com/stream/c744764b8e798aefc7bf1426530c9129-4.mp3,College Rock,Sumner Mackane,공포,3.94
4967715,http://ir.ii.uam.es/~ir/music/4405b314ec0cf8dd81566b4f8275f8ef-7.mp3,Round Round,Sugababes,슬픔,4.21
5074544,http://e-cdn-preview-e.deezer.com/stream/e6459db0f17376714207ef5540f05fc4-3.mp3,Oriental Man,Dixie-land Thumpers,슬픔,2.55
5147891,http://e-cdn-preview-8.deezer.com/stream/8f379acee08bcbc741d9dc66383e99a2-1.mp3,My Heart Tells Me,Ernie Chaffin,슬픔,4.43
5222185,http://e-cdn-preview-e.deezer.com/stream/e48846be6be2cb38899f89ff7454dc4c-1.mp3,Somewhere Inside,DJ Sleeptalker,슬픔,4.67
5316158,http://e-cdn-preview-a.deezer.com/stream/a845fa72072ac2a5e05836cb26601aec-0.mp3,La yaya,Olga María Ramos,기대,3.02
5344097,http://e-cdn-preview-9.deezer.com/stream/9fda5727d476680214e2e3ec0366cce8-1.mp3,Études d'éxécution transcendante: VII  Eroica in E-flat Major,Jorge Bolet,슬픔,3.53
5375255,http://e-cdn-preview-1.deezer.com/stream/126737539df0e271e0198c84c137f622-0.mp3,¿Qué quieres que te diga?,Animal y Racional,기대,2.13
5384567,http://e-cdn-preview-3.deezer.com/stream/302a3bc5ba582283a38e5aaf405c4ad1-2.mp3,Torno sempre da Lucia,Pino D'Angiò,슬픔,3.40
5466246,http://e-cdn-preview-c.deezer.com/stream/cfe33e6e4485933cd8d1ea5df98bdebf-3.mp3,Let's Rock & Roll To Auld Lang Syne,Chuck Edwards,슬픔,3.47
5479603,http://e-cdn-preview-9.deezer.com/stream/9a2a8d006e412401a163d8a59d62dc7f-3.mp3,Ice Cream Baby,The Pearls,기대,2.63
5563439,http://e-cdn-preview-a.deezer.com/stream/a82d353a9f84f43a1c3c2ad83ea491dd-0.mp3,I'd Have What She's Having,The Hit Crew,슬픔,3.40
5564767,http://e-cdn-preview-4.deezer.com/stream/4ce2f7433374689638fb4c5c3aba1758-1.mp3,Affligem Night,Kips Bay Ceili Band,기쁨,3.61
5600091,http://e-cdn-preview-c.deezer.com/stream/c5da95e3424b0acc8ac6e7c94cfd44db-1.mp3,Iceman,Albert Collinc,기대,4.90
5632174,http://e-cdn-preview-c.deezer.com/stream/c1f98ff9704ea7368f3e824fa072fe67-3.mp3,Rags To Riches,David Whitfield,혐오,4.19
5667620,http://e-cdn-preview-0.deezer.com/stream/007e10edfade932945eb16e7b4f9608a-4.mp3,Nashville,Judge Nothing,분노,3.08
5673785,http://e-cdn-preview-d.deezer.com/stream/d4f22a82508d701b359e0199bf84616f-7.mp3,Prelude in C-Sharp Minor Op. 3, No. 2,South German Philharmonic Orchestra,분노,2.02
5698694,http://e-cdn-preview-5.deezer.com/stream/5fe4cb7383d46222e1153f4aeaf0ef76-3.mp3,This Life I'm Living,Memphis Slim,분노,2.54
5726259,http://e-cdn-preview-0.deezer.com/stream/0b0db55280489bba416ddbe2f715d581-3.mp3,What Happened?,Random Hold,놀라움,4.00
5775938,http://e-cdn-preview-9.deezer.com/stream/9eba4edafb210e6fb7d89c0b40f65a75-2.mp3,In a Holler Over There,The Reverend Peyton's Big Damn Band,신뢰,2.84
5826100,http://e-cdn-preview-1.deezer.com/stream/13e13128e8be53ec59c9aa1ed1e56a40-3.mp3,Maedel, Das Glueck Vergisst Dich Nicht,René Carol,신뢰,4.18
5832569,http://e-cdn-preview-1.deezer.com/stream/16c61810e21e39fa782f8cde60e95de7-2.mp3,Generic Pulse (ENGLISH),Seung K. Oak,기대,2.73
5953902,http://e-cdn-preview-3.deezer.com/stream/307785bfc48cc461e2ea630baa678e68-20.mp3,Treat 'Em Right (Re-Recorded / Remastered),Chubb Rock,기대,4.83
5999869,http://e-cdn-preview-9.deezer.com/stream/9cd7efeb0e066af8f4dc55a4cff041d0-1.mp3,Everybody Plays The Fool (Demonstration Version - Includes Lead Singer),Stingray Music (Karaoke),기대,2.88
6081186,http://e-cdn-preview-f.deezer.com/stream/fb62b77d3daafab13529818d997035e4-2.mp3,Maria Elena,Ray Smith,기쁨,4.25
6132153,http://e-cdn-preview-e.deezer.com/stream/e944c92c91c591b51f3ae0d29079fc6d-4.mp3,Bandneon,Lotti,놀라움,4.89
6154428,http://e-cdn-preview-2.deezer.com/stream/2e046db21b565b9703190300bf4082de-2.mp3,Sharing Positivity (Cristian Paduraru Tech House Mix),4speakers,공포,4.60
6240693,http://e-cdn-preview-3.deezer.com/stream/306237c703a938da7574d5e44bb2315a-1.mp3,To Whom: I Am,Ching Chong Song,분노,4.49
6250190,http://e-cdn-preview-a.deezer.com/stream/acd726d8aa32dc89a5a039dd384cee77-1.mp3,Barstool Bop,Crunk Chris,분노,3.54
6260076,http://e-cdn-preview-a.deezer.com/stream/ae3d818f24232d155815e2a8c33f0c13-1.mp3,Gingerbread Man,Yo Yo Yo Kids,분노,4.41
6271760,http://e-cdn-preview-9.deezer.com/stream/9e9ae8bced79eb464d6eb2a443d08693-1.mp3,L'ultimo emigrante,Nino Delli,신뢰,2.88
6344074,http://e-cdn-preview-2.deezer.com/stream/29f3098e70e6be9fdea90c9bb920336c-0.mp3,It Don't Mean a Thing,Django Reinhardt,공포,4.15
6405162,http://e-cdn-preview-b.deezer.com/stream/b5ace149e0411593e2fa673d4f7c53fd-1.mp3,Keep It Lit (feat. MED & Wildchild),Oh No,슬픔,2.86
6422598,http://e-cdn-preview-e.deezer.com/stream/e721921f81f95e33b7e5782af3408577-1.mp3,Because It's Christmas In the Style of Barry Manilow (Karaoke Version Teaching Vocal),Musical Creations Studio Musicians (Karaoke),혐오,4.14
6495689,http://e-cdn-preview-f.deezer.com/stream/f5d298b8c179fe7820ebf16ee206c54b-1.mp3,Interference,Push,분노,2.10
6521475,http://e-cdn-preview-7.deezer.com/stream/793681fcd58442e753ca0613420dbd52-1.mp3,Time To Believe,M.E.M,신뢰,2.78
6526074,http://e-cdn-preview-c.deezer.com/stream/c8a9986d63734ad188bbeebcb28da5a5-2.mp3,L.Boccherini - Menuetto,PETAR & GORDANA JOVANOVIC,공포,3.32
6739525,http://e-cdn-preview-1.deezer.com/stream/1466fd1f6e459f8aee80a910c815cb31-3.mp3,Quand on a ça,Jean Gabin,신뢰,2.93
6829354,http://e-cdn-preview-c.deezer.com/stream/c8b9aed172e847977f463dd3cba6941b-3.mp3,Automate,Domino,분노,4.21
6862149,http://e-cdn-preview-e.deezer.com/stream/e043cc1b7da718ed7289329b952ab716-0.mp3,Consolation #2,Anton Hughes,기쁨,2.72
6898773,http://e-cdn-preview-e.deezer.com/stream/ee0c826e719c9701f09553b60ae05e6a-3.mp3,Fou de vous,Andre Claveau,혐오,4.70
6914695,http://e-cdn-preview-b.deezer.com/stream/bbce71a5ea0b0a246dd5d8ef361d1060-3.mp3,Mona Lisa (Original Mix),Gerhard Wendland,신뢰,3.75
6991004,http://e-cdn-preview-1.deezer.com/stream/1473f3763a02cee707b5c849051ac7a0-4.mp3,49 Deutsche Volkslieder - Book VI : 40. Ich weiß mir'n Maidlein,Peter Schreier,공포,3.35
7107386,http://e-cdn-preview-3.deezer.com/stream/3e893fff90de53bc10a94aab670fce1f-0.mp3,Put A Chicken In the Pot,Paul Zim,분노,3.18
7235600,http://e-cdn-preview-5.deezer.com/stream/5790e28c8f0e5b6796df56e0d56074ee-0.mp3,Get Ready, Gear Up,Jenny Jen & Taki76,신뢰,4.89
7444285,http://e-cdn-preview-0.deezer.com/stream/013dfea204f6c75ced3b6dad542d3361-0.mp3,Teaching Lovdjieff,Scott Ferguson,신뢰,3.32
7524272,http://e-cdn-preview-c.deezer.com/stream/c0938f9b4467fcf7a173c71f346da82c-4.mp3,Steig in das Traumboot der Liebe,Caterina Valente,공포,3.74
7541920,http://e-cdn-preview-1.deezer.com/stream/16fb577c010094f8dec8faea7f8e680a-1.mp3,Gito (Ramiro Puente & Karlos Elizondo Remix),AstroNivo,공포,3.45
7561859,http://e-cdn-preview-b.deezer.com/stream/ba3fe835cab7c92736ae93d01960db76-5.mp3,Bandito,Edoardo de Angelis,신뢰,4.63
7584125,http://e-cdn-preview-1.deezer.com/stream/16ea64dbd51010c50d95e8f440b35b0d-2.mp3,Mobali Sans Passeport,Franco Luambo,신뢰,3.10
7682490,http://e-cdn-preview-7.deezer.com/stream/71e75d73dba7bc3b5c1efc23b526b890-1.mp3,Sinfonia No. 7 in E Minor, BWV 793,Christiane Jaccottet,슬픔,3.55
7695006,http://e-cdn-preview-1.deezer.com/stream/11f851201cb0bf0580333829dbc576c5-1.mp3,Five Choruses On Verses Of Russian Poets: When The Son Met His Father,Prokofiev,신뢰,3.27
7747321,http://e-cdn-preview-5.deezer.com/stream/570d45f845ce41c96a03eeb637306c9a-3.mp3,O Christmas Tree,Christmas Party Band,공포,2.92
7761148,http://e-cdn-preview-0.deezer.com/stream/0a6e7636adf98921e8f58efaaae6cd1b-2.mp3,Hora din rasomiresti,Paul Stinga & ses musiciens,신뢰,3.13
7784560,http://e-cdn-preview-4.deezer.com/stream/481664f7e3977b23a487b8051ab281a6-2.mp3,Rain Rap (Karaoke Version In the Style of The Wild Thornberry's),Karaoke Diamonds,분노,3.37
7854296,http://e-cdn-preview-2.deezer.com/stream/22858702b013a4077ae37c5dff8cdf55-3.mp3,Un brivido,Serpenti,분노,2.64
7880174,http://e-cdn-preview-9.deezer.com/stream/9dd0e0a304cb00af30d69709859ee71d-0.mp3,Live Forever (Club Radio Mix By Dan Solovitz),ILONA EUROPA,혐오,2.30
7888115,http://e-cdn-preview-a.deezer.com/stream/aa9d98db06d63c45ce557737b943c841-3.mp3,L'âme des poètes,Charles Trenet,슬픔,4.49
7925568,http://e-cdn-preview-4.deezer.com/stream/429286f6ddcfc77f9fb61539113aff98-2.mp3,Aria,Bernard Giller et son orgue moderne,공포,4.09
7946793,http://ir.ii.uam.es/~ir/music/93c1bb5857023ee52956cc28640fd3c9-0.mp3,Tronche,Mètatuk,기대,3.65
8028053,http://e-cdn-preview-7.deezer.com/stream/7145f64ca26e6ba5ce5932465325e4db-3.mp3,Long,Lorenzo Pera,기대,3.39
8046663,http://e-cdn-preview-4.deezer.com/stream/455c5170022f94aeea76dd55a1123125-1.mp3,I'm Still In Love With You,T-bone Walker,혐오,2.02
8192953,http://e-cdn-preview-0.deezer.com/stream/057f0d335c7d0c9f7acd9e5d11590c9f-0.mp3,Mi Razon De Vivir,Julie Zuluaga,혐오,2.61
8198424,http://e-cdn-preview-f.deezer.com/stream/f748cfd9f006dee8087739c43d2ac703-0.mp3,Dan Calling You Ringtone,Your Name Ringtone,기쁨,2.62
8206833,http://e-cdn-preview-0.deezer.com/stream/080593229cfb1f4a56e97fd98307336c-0.mp3,Carry a Torch,Steve Wynn,기쁨,2.07
8212530,http://e-cdn-preview-1.deezer.com/stream/142315f3e335a4e4ff7a0a2ab8cab999-0.mp3,Seventh,The Xiphoid Process,공포,2.32
8247183,http://e-cdn-preview-2.deezer.com/stream/2dc935f738d44805d2c2b91089980c2f-1.mp3,The Reflection of 3,Welsh Rabbit,공포,2.20
8307491,http://e-cdn-preview-b.deezer.com/stream/be503a280f3078e2241bb268fd361f6b-1.mp3,Crash My Car,The Utards,슬픔,3.93
8348762,http://e-cdn-preview-e.deezer.com/stream/ee3995db52731e22e0dede26ad35d163-0.mp3,Over And Over,Transmission,놀라움,4.60
8419426,http://e-cdn-preview-2.deezer.com/stream/20ef977afb51f243d89f5da22468e046-0.mp3,Driving in My Car,The Fezz,기쁨,4.78
8422045,http://e-cdn-preview-4.deezer.com/stream/4ecc8780c4f01c8cc94f896984a321a1-0.mp3,The Midland Two-Step,the Fireants,슬픔,2.39
8426856,http://e-cdn-preview-4.deezer.com/stream/4c7b45681433d9583efa5bd42c46914f-0.mp3,We Don't Give A $*#* fea. J Burna,Freddie G. Tha General,공포,3.41
